"","idx","a.mean","a.se","a.Bulk_ESS","a.Tail_ESS","a.Rhat","b.mean","b.se","b.Bulk_ESS","b.Tail_ESS","b.Rhat","samples"
"Aug1","2006-08",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Sep1","2006-09",0.373818582,0.0435555499718342,2886.49134389808,1470.49106912341,1.00211506826429,0.08781538915,0.00219772940360357,2626.32060462287,1991.33528533012,1.00128779170401,0
"Oct2","2006-10",0.2515810147548,0.484168558589471,2083.152248524,1657.71989660564,1.01401768083168,0.0874134998875,0.00259157636410305,149.337521607776,72.4789607577423,1.02436731041745,0.0672043010752688
"Nov2","2006-11",0.37364756825,0.023826782740937,1824.06304460273,917.990678085039,1.00207130683519,0.0878934511,0.00200110922383487,1687.46472637792,1598.38334156623,1.00259109644467,99.5138888888889
"Dec2","2006-12",0.4113621295,0.0227025264661166,1427.03626842149,706.038903542005,1.0018296924493,0.0880462566625,0.00185939070922286,1362.90409759374,930.948626353934,1.00252671030271,26.747311827957
"Jan2","2007-01",0.497158458625,0.0494456501112044,3810.88132031182,2585.08831974623,1.00044275113779,0.087551120375,0.00239279887085854,2858.742700534,2347.43416397049,1.00030956731225,44.8252688172043
"Feb2","2007-02",0.305558517925,0.0622469851445216,6250.47058283469,4804.98790287937,1.0001538942261,0.0877811578,0.00216268762912129,5103.32402292236,3512.21218393836,1.00012197282074,78.1994047619048
"Mar2","2007-03",0.567528923125,0.0433615695951113,1245.20545983126,764.351699227027,1.00655198353512,0.0869460075375,0.00277969644100484,1189.58649070349,1145.43485284553,1.006190968644,62.7688172043011
"Apr2","2007-04",0.54687264125,0.0700407413938015,26.8315895309852,18.2677988333137,1.10304706602068,0.0862280014875,0.00426817054564715,30.6639939354322,13.824170250469,1.10460645637153,38.4027777777778
"May2","2007-05",0.35895798325,0.0253217488039734,2398.17241705761,1575.43757445727,1.00022566737932,0.08781696325,0.00207024841154332,2049.8608782065,2025.43836157787,1.00093243371568,34.9462365591398
"Jun2","2007-06",0.32754139045,0.0691548277266017,5536.07965992673,4037.85943126027,1.00317223327815,0.0876844282125,0.00223073235978746,4579.54094108295,3055.25523858466,1.00041350221165,37.2222222222222
"Jul2","2007-07",0.37061631775,0.0373644805683393,1863.45583168361,1147.5341155389,1.00069445050791,0.0876948272125,0.00228618194306694,1764.50305999032,1374.0838456752,1.00170123997497,73.8575268817204
"Aug2","2007-08",0.40171074175,0.0375240101833925,105.971628925817,19.3511664931066,1.030758929757,0.087258495075,0.00262658955233403,107.842331087395,19.6500867755687,1.03174253342178,64.247311827957
"Sep2","2007-09",0.395661406,0.0434773698003715,2855.96216585133,2022.79586935507,1.00110826895902,0.0876633441125,0.00228597147020324,2545.07660800477,2550.12002711863,1.00038255963389,60.3472222222222
"Oct3","2007-10",0.459663100625,0.0389063749044617,1563.00332054376,856.00532749223,1.00226919251077,0.0873737002,0.00247765222558652,1402.17074401069,1148.09778170284,1.00206077326938,99.5967741935484
"Nov3","2007-11",0.39451572525,0.026994866339081,1455.87008041726,721.42205169912,1.00189237457821,0.08775551625,0.00210848934512681,1537.11439112793,1400.27107554338,1.00203800129782,99.5138888888889
"Dec3","2007-12",0.641840615875,0.0511259700658796,2060.34576176862,1217.10820047439,1.00100285873206,0.087701608225,0.00222587402366655,2041.64256511271,1486.90063342019,1.0008587728388,53.0241935483871
"Jan3","2008-01",0.856165536625,0.132147328871544,4764.71846647293,4332.69218540056,1.00092515309327,0.0876599309,0.00228773793624145,4055.58017045486,2894.0597283818,1.00005367796506,4.63709677419355
"Feb3","2008-02",0.460294343375,0.0435946088085571,793.359565804391,367.19413870619,1.01325331391771,0.0864456489375,0.00339083676300638,770.62609443406,393.270098889257,1.01299938648773,99.2097701149425
"Mar3","2008-03",0.48041942325,0.0381898633304834,1389.2983107221,753.34677961744,1.0003191592429,0.087035877475,0.00270588901453432,1373.52254650489,912.43037746369,1.00012591770822,98.991935483871
"Apr3","2008-04",0.450720993875,0.0405116167927883,3559.34039989959,2224.43811609462,1.00041578189299,0.0875150786375,0.00236726165076609,2893.62697832636,2966.62511003403,1.00022677470699,99.8611111111111
"May3","2008-05",0.419577615,0.039518250972437,1242.590311986,550.901283547291,1.00693959859753,0.086648495,0.0031676667152385,1195.98202927725,635.350448859905,1.00814568635404,98.991935483871
"Jun3","2008-06",0.505050882,0.0381948163485186,849.485332951113,408.872236137052,1.00167775495952,0.0876208122125,0.00221890584962574,949.820308909708,592.858469765611,1.00182760618307,95.6944444444444
"Jul3","2008-07",0.419457257,0.0382265188882827,1434.9339129449,564.077088011786,1.00497682619819,0.0876257717125,0.00235281734510692,1379.33367422117,706.146691654852,1.00394237781703,83.1317204301075
"Aug3","2008-08",0.34090609475,0.0370727769566758,2923.60870130728,1991.45244594336,1.00154427961821,0.087666595875,0.00223699556580823,2328.27145009112,2596.65230341897,1.00218014067164,98.5215053763441
"Sep3","2008-09",0.51636307625,0.0428123044709837,840.415352371307,348.381416850665,1.00268866027438,0.0873349973875,0.00254597272103296,848.42902609917,386.173440415567,1.00310979862546,45.9722222222222
"Oct4","2008-10",0.456979644875,0.0295091227143689,2437.60155663742,1013.63476935687,1.00136385474978,0.0879927031375,0.00192226817464507,1877.40593093105,2028.75012074854,1.00101984054745,97.244623655914
"Nov4","2008-11",0.36966079125,0.0193111259235765,2678.30196328495,1771.74856965272,1.00068417173171,0.08838090525,0.00151874877996396,2178.95701900805,2373.85393485528,1.00167067278779,86.1111111111111
"Dec4","2008-12",0.535832423,0.0298763320332967,2522.77484587966,1783.20767574601,1.00034459389391,0.0878763892375,0.00199319599114909,1977.96906728125,2279.66638423058,1.00049843901446,99.0591397849462
"Jan4","2009-01",0.601932691875,0.0323113839484866,3007.91833810328,1976.10559707501,1.00119488014892,0.0881523027875,0.00178002864460391,2353.9275471395,2421.57798260982,1.00085495515267,94.489247311828
"Feb4","2009-02",0.627853445375,0.0497532551609833,2248.10174866743,1855.9262901442,1.00115691228046,0.085925166625,0.00353057939677657,1987.28198304458,2035.91539920212,1.00154019535605,97.3214285714286
"Mar4","2009-03",0.4741002245,0.0372975722465356,1250.10699809077,597.010649135372,1.00592069784984,0.0870370816,0.00275356735144727,1358.21703192872,630.847005140693,1.00543694912829,99.5967741935484
"Apr4","2009-04",0.5170707295,0.0654310868670554,223.177292552019,44.3813083897127,1.01378885854474,0.0852183008625,0.00470153906401024,246.640601676709,47.6394346713149,1.01280334568431,98.75
"May4","2009-05",0.512908842375,0.0405758271208653,1064.49445980138,462.75716311883,1.0020696950079,0.0874733153125,0.00240159578184209,1116.15630032377,609.718713908355,1.0016687941858,99.7311827956989
"Jun4","2009-06",0.336272819125,0.038094587210334,2860.53164057306,1993.90896637721,1.0011884842641,0.0875917356875,0.00242405946871846,2564.46388525526,2813.0546368152,1.00177827659055,99.5833333333333
"Jul4","2009-07",0.34749459,0.0374712558001671,2160.91465673557,1015.3215328595,1.00249228812546,0.0874618442,0.00253345850297714,1687.35149548845,1035.41576741528,1.00385272870098,77.486559139785
"Aug4","2009-08",0.468602402,0.0380041623892109,1605.12254842068,1063.26521428573,1.0040042663303,0.0877559517375,0.00214788211542142,1408.15532463749,1394.82987166256,1.00356232941538,60.5510752688172
"Sep4","2009-09",0.412835929875,0.0385191630814945,1821.88429266181,957.886108246292,1.00312705120281,0.08754558795,0.00238221863894464,1652.99100468126,1183.70343573419,1.00325247015549,98.6111111111111
"Oct5","2009-10",0.388762385625,0.0300104665275687,971.108618710477,536.142267504674,1.00223237975779,0.0875026853875,0.002313072896786,1179.83871365802,825.844215290965,1.00134564290864,99.3951612903226
"Nov5","2009-11",0.403201410125,0.0339503340520451,2125.43008114661,1148.79276806796,1.00134420213074,0.087406991675,0.00247008647736753,1746.69762339569,1697.29579707442,1.00165919746212,99.7222222222222
"Dec5","2009-12",0.397498948875,0.0324107162079095,1440.48603951611,666.887909662967,1.00142766336765,0.087370093775,0.00255690651768378,1334.83961876666,803.23821304901,1.00142140177326,99.7311827956989
"Jan5","2010-01",0.347864985,0.03133776789628,3970.93745329168,3328.89610039411,1.00059589647854,0.0878015202625,0.00211552090414812,3516.12440058689,2971.2560307296,1.00059732203884,92.1370967741936
"Feb5","2010-02",0.64361555575,0.136735347892072,6297.23677304468,4742.06455768617,1.00016087645745,0.087802411625,0.00216833100443243,5348.65139002031,3005.50113079644,0.999893000099455,32.8125
"Mar5","2010-03",0.31694816975,0.0271501642065567,4806.03816685467,2961.12531670181,1.00023862157968,0.087944985425,0.00206281962891518,3295.03505101457,3268.63384239419,1.00165306089,99.6639784946236
"Apr5","2010-04",0.555144008875,0.0449259848771504,2214.71651661574,1207.83846499013,1.00319870396789,0.087292833375,0.00258437692340512,1773.08177132049,1593.83099554943,1.00430862306543,98.5416666666667
"May5","2010-05",0.532574519125,0.0389234522027891,1159.59003508719,625.12511272858,1.00894914912274,0.0872854459875,0.0024147411608008,973.723743231544,714.230788351882,1.00819779876136,99.6639784946236
"Jun5","2010-06",0.473092985375,0.0623055203544518,109.961467965084,31.8570150888407,1.02856278465372,0.0868119380125,0.003672578902387,127.042645267137,36.1354465310979,1.02914337309284,60.625
"Jul5","2010-07",0.3209377455,0.0470776841387107,4156.61141530881,3004.14591639993,0.99999362109485,0.0876866312,0.00227444133181162,3472.23495259595,3575.68089272138,1.00111996397612,30.3763440860215
"Aug5","2010-08",0.337660388875,0.0320985751331752,1470.63544383451,740.508948542844,1.00188338595481,0.08751404825,0.00238125249288243,1567.07014529514,867.368728756257,1.0017195257237,97.6478494623656
"Sep5","2010-09",0.338264631,0.0368242562162031,2608.54698699177,1008.05742674103,1.00058529726912,0.087564644525,0.00240557065957484,1961.97877343835,1365.21516439894,1.00081540536546,34.4444444444444
"Oct6","2010-10",0.305406053125,0.0395041460800603,3975.99226490766,2461.2995335407,1.00058734664009,0.08770288095,0.00231799574806245,3283.29674008849,2695.95495486586,1.00053997292441,23.8575268817204
"Sep6","2016-09",0.305406053125,0.0395041460800603,3975.99226490766,2461.2995335407,1.00058734664009,0.08770288095,0.00231799574806245,3283.29674008849,2695.95495486586,1.00053997292441,0
"Oct7","2016-10",0.305406053125,0.0395041460800603,3975.99226490766,2461.2995335407,1.00058734664009,0.08770288095,0.00231799574806245,3283.29674008849,2695.95495486586,1.00053997292441,0
"Nov6","2016-11",0.305406053125,0.0395041460800603,3975.99226490766,2461.2995335407,1.00058734664009,0.08770288095,0.00231799574806245,3283.29674008849,2695.95495486586,1.00053997292441,0
"Dec6","2016-12",0.305406053125,0.0395041460800603,3975.99226490766,2461.2995335407,1.00058734664009,0.08770288095,0.00231799574806245,3283.29674008849,2695.95495486586,1.00053997292441,0
"Jan6","2017-01",0.305406053125,0.0395041460800603,3975.99226490766,2461.2995335407,1.00058734664009,0.08770288095,0.00231799574806245,3283.29674008849,2695.95495486586,1.00053997292441,0
"Feb6","2017-02",0.597317172875,0.056006904091049,3719.53205273694,2316.21111152843,1.00044168900084,0.0876807801,0.00230901321435846,2972.97029996201,3002.86907097931,1.0003277703391,61.3095238095238
"Mar6","2017-03",0.6568726005,0.0561368199725119,1033.98700259337,440.986458359521,1.00803695630726,0.0869460506,0.00292358852815506,919.904317523508,496.094743027122,1.00840097320406,94.4220430107527
"Apr6","2017-04",0.5394948965,0.0610313915765999,2377.51099092833,1363.22594993256,1.00138003092611,0.0870998504625,0.00284061493690975,2117.5012488612,1824.94667945983,1.00214979094154,94.5833333333333
"May6","2017-05",0.478322266125,0.0440783748317588,2877.21961774692,1589.70687597749,1.00049147848506,0.0878303059,0.00211764841649994,2603.01996142789,2271.31132312596,1.00059477182462,93.8844086021505
"Jun6","2017-06",0.50567561425,0.0531255383752265,2256.44541591616,1189.98839802844,1.00082090888072,0.087728851125,0.00226718962431141,2127.10862900002,1414.18568359031,1.00125564241522,89.0972222222222
"Jul6","2017-07",0.601084518875,0.0472853106010468,2307.56723457567,1357.44363582934,1.00127853218794,0.0877727259,0.00210170685266547,2120.7866750849,1695.98375237717,1.00167950501258,58.1989247311828
