"","idx","Pm.mean","Pm.se","Pm.Bulk_ESS","Pm.Tail_ESS","Pm.Rhat","alpha.mean","alpha.se","alpha.Bulk_ESS","alpha.Tail_ESS","alpha.Rhat","Icomp.mean","Icomp.se","Icomp.Bulk_ESS","Icomp.Tail_ESS","Icomp.Rhat","samples"
"Jan2","2007-01",-2.3562004709533,3.11207261838759,539.534391717859,370.433355712428,1.00021038135438,0.00062031278665791,0.00136700158489675,500.991677884286,588.573788561532,1.00301543466081,159.686872136,91.9566140847426,816.750274738666,492.238467824048,1.00175910119605,44.8252688172043
"Feb2","2007-02",-4.12000564905,3.66797087906877,12.2019753013617,67.5526633335239,1.06718871746347,0.000102982315083365,0.000220648321758227,22.0252780537711,51.9688293181866,1.06836533232843,163.5355453,94.7459606690925,24.9639183422558,20.2364381681101,1.02126390111253,78.1994047619048
"Mar2","2007-03",-2.3117023167432,3.10706934128628,360.673245126612,553.952501901637,0.999656894781054,0.00034748383851655,0.000900920081155706,356.472143850939,483.903655071688,1.00031412751866,145.223017919,82.9426675100101,404.587291971671,354.791994312482,1.00019677550085,62.7688172043011
"Apr2","2007-04",-2.21659598911205,3.11309897094549,479.639555503642,439.9059249137,1.0004532127313,0.0004070412688808,0.000901042285860675,495.236171740013,476.616250232022,0.99981989740327,139.7757933455,81.0216950749011,1164.0561476364,752.145964938093,1.0015339223991,38.4027777777778
"May2","2007-05",-2.44597028454859,3.11747204771845,612.455751522445,492.723805179974,1.00299078105908,0.00036693023856055,0.000865497724505932,569.705195697829,677.790539740572,1.00089754020731,139.530130245,82.5908758594826,799.15046501781,672.792468772104,0.999679155924818,34.9462365591398
"Jun2","2007-06",-2.7304032479055,3.1819691589837,705.729714980084,691.808525935196,0.999738090267652,0.00041722958084415,0.000808593325561229,553.937824309067,762.834574862621,1.00007547809963,143.850927438,83.1029994787921,1137.33076973069,805.994377397939,1.00051153987072,37.2222222222222
"Jul2","2007-07",-2.34125868781805,3.17502124101732,462.121592618883,526.806681016899,1.01121041794463,0.00040706741823285,0.000967083639433299,314.356721254021,530.895094314587,1.01968165719799,143.0746296,84.7478842300192,536.008769773077,651.233320047552,1.0007607410622,73.8575268817204
"Aug2","2007-08",-2.060777908744,2.79547433781859,365.298592705429,384.21633758933,1.00577299434801,0.000461897574158405,0.00101438848823022,383.900385226518,532.592778529332,1.01013891331523,142.988664085,81.5164191925214,578.846995393329,473.668458116665,1.00213269202621,64.247311827957
"Sep2","2007-09",-2.530204415082,3.32915730317997,300.26550347207,546.156880625085,1.00351669423548,0.0004005194347211,0.000851599581956872,331.08439804847,696.30124857735,1.00657367754954,148.335036631,82.5486712793032,808.293838731019,437.135934726669,0.999813570855106,60.3472222222222
"Oct3","2007-10",-2.1241222320335,3.13506646408623,595.446027214537,665.535741634197,1.0000390926513,0.000528282581901995,0.0011777190566817,634.828862169001,1018.50338770588,1.00034132701701,140.552512994,87.1578901994381,753.994371316043,416.605030844074,1.00181759991338,99.5967741935484
"Nov3","2007-11",-2.061809184489,2.99465103659993,382.82261379138,537.539697127909,1.00611748719265,0.00045940849572443,0.00105701779519472,405.884755817886,653.843380001671,1.00553330077568,147.527770926415,92.753731842684,739.809072827484,552.80717883463,1.00188180570278,99.5138888888889
"Dec3","2007-12",-2.489750783942,3.20043468861388,276.441174391908,396.013873070347,1.00175910653967,0.0006896207981841,0.00144287676147806,317.569693395086,524.43087993856,1.00304417400062,156.692851184,100.10744916727,613.004251991117,398.453824385776,1.00078540178867,53.0241935483871
"Jan3","2008-01",-3.173252998605,3.41705386739815,341.088042961517,266.732334100314,1.00181717815256,0.00081327912881165,0.00136693445408494,407.06893122982,506.50155413607,1.00037408487152,152.270165589,89.354334244957,1290.01879193488,908.164409727613,1.00173029900549,4.63709677419355
"Feb3","2008-02",-2.4185458724374,3.17767484147001,384.770585299488,365.633255953448,1.00439406239849,0.00041832385967135,0.0010644696488612,402.965304331501,553.147354030336,1.00143860325314,141.0322891555,85.9322361509626,543.631408310005,435.70163127068,1.00264927368978,99.2097701149425
"Mar3","2008-03",-1.95864022474185,2.93880442203605,524.668011863999,437.954701085559,1.00032611756072,0.000410245748857135,0.000905570895271055,609.007997535863,688.088979575954,1.00038452866781,147.05304972225,85.7256200347644,855.908520755906,524.743580943088,0.999549648645988,98.991935483871
"Apr3","2008-04",-2.120124920277,3.13711570498125,481.755552864813,505.70130760941,1.0045675307281,0.000339670799106994,0.00075027090387914,468.089313756759,864.778450454273,1.00271368422843,137.3727776683,84.7558136947479,946.298634133516,642.88252426171,1.00051275172111,99.8611111111111
"May3","2008-05",-2.41371332016,3.13336118589841,119.705052370377,87.9090939254693,1.00634671868823,0.000144118044951875,0.000364441941466857,171.137188711705,205.794899430839,1.00093272084995,143.41920947185,84.0794240960238,295.684253111219,256.199740410808,0.999845850837096,98.991935483871
"Jun3","2008-06",-2.2351666294433,3.06905866891394,602.890867562356,640.235829467508,1.00163517148322,0.000394149298613255,0.00094107098117392,566.10613309449,697.721845203793,1.00171392137842,143.9937893785,88.6920714092225,1308.71410367076,657.830017754022,1.00191467125179,95.6944444444444
"Jul3","2008-07",-2.1874321688256,3.0787019439698,420.615974084371,499.649370016585,1.00567564574331,0.00035988763454345,0.0008475811969226,390.870629234352,590.596111525873,1.00542197888427,139.46640816,83.226741742187,466.966856188391,457.021730493913,0.999738434659635,83.1317204301075
"Aug3","2008-08",-2.2646964551515,3.17375147463507,623.479478306907,767.686511981201,1.00368979014435,0.0003636878719347,0.000814301533342034,572.953659110877,603.177031424875,1.00668008433087,143.7176563705,86.7535001308459,1042.51722923469,649.062721163562,1.00015376654101,98.5215053763441
"Sep3","2008-09",-2.651623340255,3.45962318440528,3.7281432669914,50.0527083366261,1.21472312962465,0.000469567066236845,0.000864615056114182,5.14308367716635,45.4888069346875,1.14790436580458,134.140796295,87.2413298958296,83.8609150286782,96.0331329086811,1.02388762115846,45.9722222222222
"Oct4","2008-10",-2.10952653788845,2.96747791775962,301.536327155503,455.918380129314,0.99998977786524,0.000424956105224385,0.000943688702527239,334.866241331537,739.806682891774,1.00093532289964,144.5265395275,84.5790011087256,623.505918451763,516.733615432532,1.00014161821558,97.244623655914
"Nov4","2008-11",-1.99530661923775,2.95523897915662,420.017607492407,779.914714712538,1.0116941680494,0.000467119812673415,0.00100957945110828,413.596794041889,887.788498432647,1.00872985654465,146.31936708045,86.0652455128411,905.543910513522,473.317911139647,0.999737802066829,86.1111111111111
"Dec4","2008-12",-2.22064741276025,3.09021308725167,401.561947292844,559.197551803281,1.00301318498932,0.0005448497700676,0.00127006357724073,387.086886640607,663.487935301372,1.00508986271115,147.93030472955,87.4071616920367,829.664788454101,477.409577506977,0.999531915400858,99.0591397849462
"Jan4","2009-01",-2.23910387886155,3.11699938456167,721.6351118852,807.367577422666,1.00197057935243,0.0004166587023159,0.00109235238346442,754.897590194135,908.551420900261,0.999899445997296,147.4746773475,85.5487388378092,1052.88973359378,758.483768731483,0.999669836090737,94.489247311828
"Feb4","2009-02",-2.1473676455065,2.97854555921904,526.900073876959,770.369183666402,0.999660726244872,0.000341460050648865,0.000747420254317408,474.10815774124,817.876727369609,0.999758468302193,145.66336181,82.5982474565544,881.041659991083,623.46016022713,1.00102368377857,97.3214285714286
"Mar4","2009-03",-2.18716947023165,3.04217212624823,488.281711075269,624.68393636517,0.999521761314302,0.0003504888711865,0.000914347652642484,598.969679322296,743.321408787303,0.999851000436944,148.991270385,87.1681953814348,1214.02709795669,736.359465261997,1.00177006307068,99.5967741935484
"Apr4","2009-04",-1.79104811577248,2.77715774517062,155.607522756456,418.787297311543,1.03016682837744,0.00040509717779655,0.000874938782277743,200.77613290643,496.666350659225,1.03184360510359,136.3757717112,83.5423810578737,698.98996146966,511.447283883283,1.0009950017923,98.75
"May4","2009-05",-2.24407392599645,3.2429184673386,432.130944623456,470.700651347928,1.00244133522023,0.000360245702969735,0.000809236078901452,441.204819630465,559.452093823313,1.00479105265969,147.474135000941,90.8778252750007,585.688995271215,430.235326682542,1.00144570142748,99.7311827956989
"Jun4","2009-06",-2.17867104121765,3.06238768917654,501.479218768171,553.169468791593,1.00330799040983,0.00035934281550116,0.000841685881018444,418.550652090856,672.284677219654,1.00617851777681,142.2636487225,88.2042758796235,1006.25197490332,602.149100216908,0.999597498596408,99.5833333333333
"Jul4","2009-07",-2.2177218881579,3.14624042910884,336.998057949317,464.698179723802,1.0000896447213,0.000450735641649605,0.00108396380584221,328.504406117144,452.799726559271,0.99952931897182,134.2016744986,84.1433592785596,411.806931300179,301.1688858889,1.00180058538102,77.486559139785
"Aug4","2009-08",-2.4374129476295,3.10634483923425,584.642352312059,856.245219680964,0.999704551047407,0.00037431195308545,0.000846109843639918,541.886868143202,797.238645311281,1.00002943584127,133.19265881465,80.7887497303373,651.026061203575,477.602270032214,1.0017820761177,60.5510752688172
"Sep4","2009-09",-2.1725650060986,2.97246253340025,349.771173120256,424.877575680823,1.00049794392252,0.0004737910512079,0.00110233630233212,364.465713331141,474.577520240368,1.00496784585932,142.9501457633,84.6062607833859,732.887567968192,567.376092275417,1.00087707554889,98.6111111111111
"Oct5","2009-10",-2.301570182962,3.14067072963335,684.228017422434,1051.64443481134,0.999519145335457,0.000349802589656115,0.000826274471677743,647.497985069286,985.598711058522,0.999649991611942,146.8939026495,85.9294938311095,1038.9598478136,877.494773293588,1.00074622621258,99.3951612903226
"Nov5","2009-11",-2.2460321318605,3.20831977395061,567.300655269081,457.506451828076,1.00044827458644,0.0004745943900352,0.00106154565042183,529.883173925145,683.695171177669,1.00084165408663,152.73760882275,88.3915037355767,1198.86580642266,873.180269184546,0.999712999175949,99.7222222222222
"Dec5","2009-12",-4.339270642709,3.20304447702453,11.2107069551058,187.598423786952,1.07068808323523,0.00152107178907125,0.00131690946968152,12.2633369908934,115.358201460238,1.08793643426957,393.5171160075,161.612749605915,4.53024823731848,107.117849453899,1.16707154902835,99.7311827956989
"Jan5","2010-01",-2.467823699375,3.21074553098845,624.059438443873,624.07643508271,1.00057287847797,0.00050939977177405,0.00108321629077613,605.226581030183,883.676933327563,1.00091327999099,153.664076148,87.489687017031,895.638405572349,631.583693380195,1.0015712892866,92.1370967741936
"Feb5","2010-02",-2.4145148814626,3.15220881220666,577.784903316259,452.520331575436,1.00086064023495,0.000500545376862686,0.00105223679643553,544.424777311093,611.566452524381,1.00082090062109,141.0045372732,81.405611018881,1093.95609457755,647.70727572109,1.00198452274911,32.8125
"Mar5","2010-03",-2.13865495335959,3.06120086821806,269.543826307238,250.720846824024,1.00840901233192,0.0003802990833917,0.000940669125328096,278.389039370776,282.075396721872,1.01220765822147,142.693932348,84.0826621785286,794.758100507653,605.325980562579,1.00053688008922,99.6639784946236
"Apr5","2010-04",-2.17868601364065,3.10382020567165,500.062468822055,667.074670945309,1.00121117028136,0.000337504998212825,0.000792570676821033,471.994220171335,736.03172701981,1.00008472507008,139.927601893,83.9534106742079,378.099274379835,348.234571242458,1.00057552348982,98.5416666666667
"May5","2010-05",-2.2560697934354,3.14620188506979,539.981873475563,536.028409631332,0.999987693080291,0.000323582068538995,0.000802159954666832,504.154332367869,548.495904223337,1.000648909421,136.871082082,82.0725263588171,834.231423878833,549.976580635102,0.999904807926039,99.6639784946236
"Jun5","2010-06",-2.56402105325535,3.23897350966814,248.378712563673,458.246128462819,1.00495106545695,0.000339185870039535,0.000743376304847823,282.178623460338,659.278501756514,1.00287425524431,143.3968049145,81.9222030252198,642.307943801102,521.050569274032,0.999986078444423,60.625
